sequence,move to front,opt,opt free,discrete doa,continuous doa
"0,0,0,0,2,0",9,8,8,8,8
"0,0,0,3,4,0",15,13,13,13,13
"4,0,3,4,1,3",22,18,19,19,20
"0,0,0,0,1,4",11,11,11,11,11
"0,0,2,1,2,1",12,10,11,11,11
"3,0,4,2,0,1",24,16,16,16,16
"2,3,0,1,2,0",21,14,14,14,14
"1,0,2,0,0,2",12,10,10,11,10
"2,0,4,1,2,4",21,17,17,17,18
"0,4,1,4,1,0",16,14,14,15,15
"0,3,2,0,3,0",17,13,13,14,14
"3,4,1,1,4,3",19,17,19,19,19
"4,3,0,4,0,3",21,16,17,19,17
"3,0,0,0,3,3",11,10,10,11,10
"0,0,3,2,1,3",17,14,14,15,15
"0,0,3,1,2,3",16,14,14,15,15
"3,4,0,1,2,0",24,16,16,16,16
"0,4,3,2,0,1",25,16,16,16,16
"2,4,0,2,4,0",20,15,15,17,15
"0,0,2,3,3,3",11,11,11,11,11
"0,4,1,4,0,1",17,14,14,15,15
"3,2,1,0,0,0",18,12,12,12,12
"4,1,2,4,4,0",20,16,16,16,17
"0,0,2,2,3,3",11,11,11,11,11
"4,3,2,1,0,1",27,17,17,17,17
"3,4,0,4,0,3",19,16,16,18,16
"4,1,2,4,3,4",22,19,19,19,20
"1,2,1,1,2,1",12,10,10,11,10
"3,4,2,0,3,4",26,20,20,22,22
"3,0,4,2,1,4",24,18,18,18,19
"0,0,1,2,3,3",12,12,12,12,12
"0,1,2,0,0,2",12,10,10,11,10
"0,0,0,2,1,0",12,9,9,9,9
"4,3,2,2,3,4",21,18,21,21,21
"0,0,1,2,2,2",9,9,9,9,9
"2,3,1,0,2,0",21,14,14,14,14
"3,0,0,2,0,3",16,13,13,14,14
"3,1,3,0,1,0",17,13,13,14,14
"3,0,4,1,2,4",23,18,18,18,19
"0,0,0,0,2,2",8,8,8,8,8
"0,0,0,0,4,0",11,10,10,10,10
"3,2,1,0,1,0",20,13,13,13,13
"0,3,2,4,1,0",24,16,16,16,16
"0,0,0,2,1,4",14,13,13,13,13
"0,0,0,1,1,4",11,11,11,11,11
"4,3,1,2,0,1",27,17,17,17,17
"2,1,1,2,0,0",13,12,12,13,13
"0,0,0,0,0,3",9,9,9,9,9
"4,2,4,1,2,2",19,16,17,18,18
"2,4,0,2,0,4",19,15,15,17,15
"0,0,0,2,3,2",12,11,11,11,11
"0,3,0,2,3,3",15,13,13,14,14
"2,1,1,2,1,0",14,12,12,13,13
"0,0,1,1,1,1",7,7,7,7,7
"3,2,0,0,3,0",17,13,13,14,14
"1,3,0,2,0,3",18,14,14,15,15
"2,4,0,4,2,0",19,15,15,17,15
"0,0,0,1,2,0",11,9,9,9,9
"3,4,1,2,4,3",25,21,21,22,23
"0,0,0,3,1,4",15,14,14,14,14
"4,3,2,2,4,3",22,18,21,21,21
"4,2,0,4,2,0",21,15,16,18,16
"0,3,1,3,0,1",16,13,13,14,14
"0,4,3,2,1,0",26,16,16,16,16
"2,1,1,1,2,1",12,10,11,11,11
"0,0,0,1,3,1",11,10,10,10,10
"0,3,0,2,3,0",17,13,13,14,14
"4,3,3,1,1,4",19,17,19,19,19
"3,4,2,1,0,3",29,19,19,19,19
